PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=331 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=420 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=435 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=574 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=554 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=535 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=463 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=411 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=381 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=371 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=336 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=336 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=296 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=233 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=124 ms
